ID;Descrição;Preço em R$
105;Placa Mãe Brx H61, Intel 2ª/3ª Geração, DDR3, Socket LGA1155;R$ 200,21
106;Placa-Mãe Msi Mag B760m Mortar Wi-Fi, Intel LGA 1700, DDR4 - 911-7e01-008;R$ 1.487,87
107;Placa Mãe Gigabyte B760m DS3h, DDR4, LGA1700, Micro ATX;R$ 849,15
108;Placa-Mãe Gigabyte B650 Aorus Elite AX, AMD AM5, ATX, DDR5;R$ 2.969,30
109;Placa Mãe Gigabyte B760m Gaming X, Intel LGA1700, Microatx, DDR4;R$ 1.528,90
110;Placa-Mãe Goldentec G41, Intel LGA 775, DDR3 - GT43766;R$ 284,50
111;Placa-Mãe Gigabyte Z790 Aorus Elite, Chipset Z790, Intel LGA 1700, ATX,DDR5, 9MZ79ELT5-00-10;R$ 2.299,00
112;Placa-Mãe Biostar A68N 2100K, AMD E1-6010 2.0, Mini ITX, DDR3;R$ 281,05
113;Placa Mae MSI A320m-a PRO, AMD AM4, DDR4, ATE 64GB, DVI/HDMIi U;R$ 425,44
114;Placa Mãe Afox Ih510-ma2-v2, Lga 1200, Ddr4 HDMI Vga Dvi M.2;R$ 668,90
115;Placa Mae Reference H81-gm2, Gigabit, M.2, LGA 1150, Matx, DDR3;R$ 283,14
116;Placa-Mãe Msi B450m-A Pro Max, AMD AM4 - 911-7c52-030;R$ 484,03
117;Placa Mãe Gigabyte B760m Aorus Elite R1.1, DDR4, LGA 1700, Micro ATX;R$ 1.424,52
118;Placa Mãe Star Intel 1151, H110 M.2, 2xddr4, HDMI/VGA, 6 E 7 Geração, H110;R$ 404,55
119;Placa Mãe Asus ROG STRIX Z690-I GAMING WIFI, Intel 1700 Z690, DDR5, Mini ITX - 90MB1910-M0EAY0;R$ 3.499,99
120;Placa Mãe Keepdata H55-kdg Socket,LGA 1156, VGA,DDR3,Suporta Intel Core I7,I5,I3;R$ 188,37
121;Placa-Mãe Gigabyte H410M H V3 1.0 Ultra, Intel 1200, mATX, DDR4, Durable 2x;R$ 550,47
122;Placa-Mãe Gigabyte H610M H, Intel LGA 1700 mATX, DDR4;R$ 673,11
123;Placa-Mãe Gigabyte Z390 M Gaming, Intel, mATX, DDR4, HDMI e DVI-D, USB 3.0, Box;R$ 2.312,99
124;Placa Mãe Asus TUF Gaming B760M-BTF, Intel LGA 1700, mATX, DDR4, RGB - 90MB1E50-M0EAY0;R$ 2.299,99
125;Placa-Mãe Brazil PC, AMD FM2/ FM2+, mATX, DDR3, OEM - BPC-A88M;R$ 248,54
126;Placa Mãe Knup Revenger G-h81/m, Intel, 4ª Geração, DDR3, M.2 Nvme, Rede Gigabit, Micro ATX, LGA 1150;R$ 246,25
127;Placa Mãe Gigabyte Z790 Aorus Elite AX, LGA 1700, ATX, DDR5, Wi-Fi - Z790 AORUS ELITE AX;R$ 2.999,99
128;Placa Mãe Asus Prime Z790-p, Intel LGA1700, ATX, DDR5 M.2;R$ 2.235,00
129;Placa Mãe Gigabyte H510m H, Intel, LGA 1200, mATX, DDR4, Chipset H510;R$ 506,69
130;Kit Placa Mãe H110 + Processador I7 7700 + Memória 8GB DDR4 + Cooler + M.2 256GB - Powerpc;R$ 1.451,13
