ID;Descrição;Preço em R$
157;Memória Kingston Fury Beast para Intel XMP, RGB, 16GB, 6000MHz, DDR5, CL40, Preto - KF560C40BBA-16;R$ 559,99
158;Memória Lexar Ares, RGB, 8GB, DDR4, 3600MHz, CL18, Preto - LD4BU008G-R3600GSLA;R$ 165,99
159;Memória Kingston Fury Impact, 64GB (2x 32GB), 5600MHz, DDR5, CL40, para Notebook Gamer, Preto - KF556S40IBK2-64;R$ 1.799,99
160;Memória Oxy, 8GB, 1333MHz, DDR3, CL9 - OXY1333D3N9/8G;R$ 85,41
161;Memoria Kingston 4GB, 1600mhz, Ddr3 - Kvr16n11/4;R$ 43,41
162;Memória Para Notebook Kingston 8GB, DDR4, 2400mhz, Cl17 - Kvr24s17s8/8;R$ 129,25
163;Memória Crucial, 8GB, 2666MHz, DDR4, CL19 - CB8GU2666;R$ 120,29
164;Memória Kingston Fury Beast, 32GB, 3600MHz, DDR4, CL18, Preto - KF436C18BB/32;R$ 599,99
165;Memória Kingston Fury Beast, 32GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/32;R$ 569,99
166;Memória XPG Gammix D10, 16GB, 3200MHz, DDR4, CL 16, Preto - AX4U320016G16A-SB10;R$ 269,99
167;Memória Corsair Vengeance 4GB, 2400MHz, DDR4, CL16, para Notebook - CMSX4GX4M1A2400C16;R$ 109,99
168;Memória Corsair Vengeance para AMD, RGB, 64GB (2x32GB), 5200MHz, DDR5, C40, Preto - CMH64GX5M2B5200C40;R$ 1.349,99
169;Memória Kingston Fury Beast para Intel XMP, 16GB, 5200MHz, DDR5, CL40, Preto - KF552C40BB-16;R$ 459,99
170;Memória Kingston, 8GB, 2666MHz, DDR4, CL19 - KVR26N19S8/8;R$ 121,84
171;Memória XPG Spectrix D50, 16GB, 3200MHz, DDR4, RGB, CL 16, Cinza - AX4U320016G16A-ST50;R$ 329,99
172;Memória Corsair Vengeance para AMD, 64GB (2x32GB), 5600MHz, DDR5, C40, Preto - CMK64GX5M2B5600Z40;R$ 1.499,99
173;Memória Corsair Vengeance, RGB, 64GB (2x32GB), 5200MHz, DDR5, C40, Preto - CMH64GX5M2B5200Z40K;R$ 1.399,99
174;Memória Kingston Fury Renegade, RGB, 8GB, 3600MHz, DDR4, CL16, Preto - KF436C16RBA/8;R$ 209,99
175;Memória XPG Spectrix D60G, RGB, 16GB (2x8GB), 3600MHz, DDR4, CL18, Cinza - AX4U36008G18I-DT60;R$ 469,99
176;Memória Kingston Fury Impact, 16GB, 2666MHz, DDR4, CL15, para Notebook - KF426S15IB1/16R;R$ 279,99
177;Memória RAM Gamer, 8GB, 1600MHz, DDR3, Para Pc - PC3-12800;R$ 116,91
