ID;Descrição;Preço em R$
178;Fonte Redragon RGPS-500W, 500W, PFC Ativo, Bivolt, FAN 140mm - GC-PS001;R$ 319,90
179;Fonte Msi 600w, 80 Plus White, Mag, Atx, Bivolt, Pfc Ativo;R$ 499,00
180;Fonte Goldentec ATX, 250W Real - FG-ATX250;R$ 99,99
181;Fonte BlueCase ATX, 350W, PFC, BLU350PFC;R$ 204,55
182;Fonte Goldentec ATX, 350W Real, Bivolt;R$ 237,96
183;Fonte K-Mex ATX, 200W Real - PX300DNG;R$ 56,90
184;Fonte  Onepower, ATX 650w, Autoswitch- Mp-650-opasw;R$ 192,10
185;Fonte Duex ATX, 500W Real, 20+4 IDE, SATA - DX500FSE;R$ 136,12
186;Fonte C3Tech, 200W, 115V/230V, PS-200V4;R$ 62,90
187;Fonte K-Mex Mini, 200W, Conector De Energia Em L - PB-200CNF;R$ 99,80
188;Fonte Brx Automatica, 750w, Amarela;R$ 209,95
189;Fonte De Alimentação Onepower, 600w, Bivolt, Preto - Mp-600-opasw;R$ 189,04
190;Fonte ATX Brazilpc Pro, FULL 700w Modular, 80 Plus Silver 700w, Bivolt - EZ-8898S;R$ 413,10
191;Fonte C3Tech ATX, 700W, 80 Plus White, PS-G700M;R$ 359,01
192;Fonte Redragon Atx 850w, 80 Plus Gold, Rgb, Pfc Ativo, Full Modular, Preto;R$ 882,90
193;Fonte Pcyes Electro V2, 650W, 80 Plus Bronze, PFC Ativo;R$ 431,10
194;Fonte Brazil PC 1.2, 230W Real, 24 Pinos, BPC-230V;R$ 42,90
195;Fonte Cowboy Gamer ATX, 700W - CB-201;R$ 189,05
196;Fonte Corsair HX1500I 1500W, 80 Plus Platinum, Full Modular, Bivolt, Sem Cabo, Preto - CP-9020261-WW;R$ 2.999,99
197;Fonte Gamemax Gx850 Pro, 850w 80 Plus, Gold FULL Modular, Pfc Ativo - GX850PBKPS18810BR;R$ 718,99
198;Fonte Atx Gamer 750w Deepcool 80 Plus Gold Dq750m - V3l Full Modular Sem Cabo De Forca - Preto;R$ 798,15
199;Fonte Cooler Master Mwe, 750w, 80 Plus Bronze-mpe-7501-acaabbr;R$ 530,00
200;Fonte Gigabyte P650B, 650W, 80 Plus Bronze - GPP650BBR;R$ 383,65
201;Fonte ATX 800w Automatica Storm-z Full Modular;R$ 492,15
202;Fonte Poe Ubiquiti Gigabit  48v-24w, Preto;R$ 169,90
203;Fonte De Alimentação Gigabyte Aorus Gp-ap1200pm, 1200 W, Platinum;R$ 4.290,00
204;Fonte Dmix ATX Gamer, 600W Real, Bivolt, Silenciosa, Para PC, 24 Pinos;R$ 237,90
205;Fonte Thermaltake Smart BX1, 650W, 80 Plus Bronze, PFC Ativo - PS-SPD-0650NNFABB-1;R$ 450,37
206;Fonte Cooler Master, G600, 80plus Gold - 600W;R$ 622,40
207;Fonte Thermaltake Toughpower Gf A3, 850W, Full Modular - Ps-Tpd-0850fnfagb-H;R$ 1.256,31
208;Fonte Brazilpc Bpc-c325e, ATX 350W Real, 24, Pinos - OEM;R$ 93,47
209;Fonte K-Mex Mini ITX, 200W, 24P - PD-200RNG;R$ 128,75
210;Fonte De Alimentação Hayom, ATX, 200W, Cabo De Força;R$ 72,90
211;Fonte De Alimentação Atx Potencia Real 500w Goldentec - G500- GT500;R$ 249,00
212;Fonte Aerocool VX-500, 500W, Bivolt, ATX, Preto, EN57136;R$ 199,99
213;Fonte Vinik Colméia, 240W, 12V, Bivolt Chaveada, 20A - VFS1220;R$ 109,95
214;Fonte ATX Rop  Dazz 900w Real 80 Plus Bronze Pfc Ativo;R$ 474,05
215;Fonte Hayom, 500w, 80 Plus, ATX, 110/220v - w-pw1605;R$ 290,00
216;Fonte Gamer Aerocool,ATX Kcas 1000gm Pfc Ativo, 80 Plus Gold;R$ 906,61
217;Fonte Pcyes ATX Electro V2 Series, 500W Real, 80 Plus White;R$ 322,47
218;Fonte C3tech Ps-g500, ATX, 500w, 80 Plus White Preto;R$ 349,00
219;Fonte Duex 850w, 80 Plus Bronze, Pfc Ativo, Full Modular, 850fse++;R$ 597,04
220;Fonte BRX Rainbow, ATX, 500W, 80 Plus, Automática PFC;R$ 225,25
221;Fonte Thermaltake TT Toughpower GF1, 650W, Fully Modular, ARGB - PS-TPD-0650F3FAGB-1;R$ 1.207,47
