ID;Descrição;Preço em R$
227;Cooler para Processador Noctua, Intel, 92mm, Marrom e Prata - NH-L9I-17XX;R$ 419,99
228;Pasta Térmica, Mastergel, Regular 4g - MGX-ZOSG-N15M-R2;R$ 37,32
229;Cooler FAN OEX F50, 120mm, LED Branco;R$ 36,78
230;Kit Cooler FAN com 3 Unidades GAMDIAS Aelous, 120mm, RGB, Lite - M2-1203;R$ 122,32
231;Water Cooler DeepCool GAMMAXX LE300, RGB, 120mm, Preto - R-LE300-BKLNMC-G-1;R$ 275,90
232;Cooler 120mm Cooler Master Masterfan Mf120 Halo, LED ARGB, Preto - Mfl-b2dn-21np2-r2;R$ 120,00
233;Cooler Fan C3Tech Storm, LED RGB, 12mm - F11-L220rgb;R$ 17,54
234;Cooler FAN Corsair iCUE AF120 Elite, 120mm, RGB, Preto - CO-9050153-WW;R$ 149,99
235;Cooler Fan Noctua 120mm, Marrom - NF-A12x25 PWM;R$ 259,99
236;Cooler Para Processador Redragon TYR, LED Rainbown, Intel e AMD, 120mm, PWM, FAN, 4 Heat Pipes, TDP 130W - CC-9104;R$ 113,88
237;Water Cooler Corsair iCUE LINK H170i RGB, 420mm, AMD e Intel, Preto - CW-9061004-WW;R$ 2.299,99
238;Cooler Fan C3tech, 120mm, RGB, Preto - F7-l250rgb;R$ 29,05
239;Cooler Fan, Cooler Master Mf120 Halo V2, ARGB, White, 120mm;R$ 120,75
240;Cooler FAN Mymax Boreas, 120mm, ARGB LED, Para Gabinete Gamer;R$ 26,31
241;Cooler Para Cpu Deepcool Ak400 Digital, Preto, 120mm;R$ 357,00
242;Cooler FAN Corsair iCUE AF120 Elite, 120mm, RGB, Branco - CO-9050157-WW;R$ 159,99
243;Kit Cooler FAN Rise Mode, 3x120mm, RGB, Branco - RM-CF-02-RGB;R$ 119,99
244;Cooler Para Processador Intel, Para CPU - E97379-003;R$ 39,60
245;Cooler FAN DeepCool RF120R, 120mm, LED - DP-FLED-RF120-RD;R$ 22,95
246;Water Cooler Deepcool Castle 240RGB V2, 240mm, AMD, Preto - DP-GS-H12AR-CS240V2;R$ 459,99
247;Cooler Fan Noctua Redux Edition, 80mm, Cinza - NF-R8 redux-1800 PWM;R$ 119,99
