ID;Descrição;Preço em R$
146;Processador AMD A10-5800K, 3.8GHz, Quad Core, FM2, OEM;R$ 255,49
147;Processador Intel Core I9 10900K, 3.7GHz (5.3GHz Max Turbo), Cache 20MB, LGA 1200, Sem Cooler - BX8070110900K;R$ 3.989,90
148;Processador Intel Core I3-3220, 3.3GHz, 3MB, 2 Núcleos, 4 Threads, LGA 1155, Vídeo Integrado - Sk1155;R$ 169,53
149;Processador Intel Core I7-14700f, Turbo Até 5.4ghz, 20-cores, 28-threads, 33mb Cache, LGA 1700 - Bx8071514700f;R$ 2.706,66
150;Processador Intel Core I7-10700KA, 3.8GHz, Cachê 16MB, Octa Core, LGA 1200 - BX8070110700KA;R$ 2.594,61
151;Processador Amd Ryzen 5 8600g, 4.3GHZ (5.0GHZ MAX), AM5, Cache 22MB, Sem Cooler - 100-100001237box;R$ 1.727,01
152;Processador Intel I5-12400, 2.5GHz, Cache 18MB, Hexa Core, 12 Threads, LGA 1700 - BX8071512400;R$ 1.086,09
153;Processador Intel I5-2400, 3.40ghz, Cache 6mb,1155, Oem - FCLGA;R$ 119,00
154;Processador Intel Core I5 13400f, 2.5GHz (4.6GHz Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Sem Vídeo - Bx8071513400f;R$ 1.352,69
155;Processador Intel Core I5, 8400, 8 Geração, 2.8GHZ, 9MB, LGA1151, Oem;R$ 530,00
156;Processador AMD Ryzen Threadripper Pro 5995WX, 256 MB,  64 Núcleos, SP3 WOF - 100-100000444WOF;R$ 35.999,99
157;Processador Intel Core I7-10700KF, 3.8GHz (5.1GHz Max Turbo), Cache 16MB, LGA 1200 - BX8070110700KF;R$ 2.177,46
158;Processador Intel Celeron G-5900, 3.40GHz, Dual Core, 2 Threads, FCLGA 1200 - BX80701G5900;R$ 255,14
159;Processador Intel Core I7 13700k Lga 1700 3.4ghz (5.4ghz Max Turbo) Cache 30MB 16 Núcleos 24 Threads - Bx8071513700k;R$ 2.736,92
160;Processador Intel Core I9 12900F, 3.80GHz, 16 Core, LGA 1700;R$ 3.464,51
161;Processador Intel Core I9-10900F, 2.80GHz, Cache 20MB, 10 Núcleos, 20 Threads, FCLGA 1200, Intel UHD Graphics 630;R$ 2.611,46
162;Processador Intel Core I5 650, 3.2GHz, Cache 4MB, LGA 1156, Sem Cooler Tray;R$ 191,50
