ID;Descrição;Preço em R$
120;SSD WD Black SN850X Gaming Storage 2TB, M.2 2280 PCIe GEN4X4, NVMe, Leitura: 7300 MB/s e Gravação: 6600 MB/s, Preto - WDS200T2X0E;R$ 1.199,99
121;SSD Externo 256 GB Adata, USB 3.2 Gen 2 com Type C, Leitura: 1000MB/s, Cinza - ASE760-256GU32G2-CTI;R$ 279,99
122;SSD Externo 500 GB Kingston XS2000, Leitura: 2000MB/s e Gravação: 2000MB/s - SXS2000/500G;R$ 489,99
123;SSD Externo Portátil SanDisk Extreme PRO, 4TB, USB 3.1, Leitura: 2.000 MB/s, Gravação: 2.000 MB/s, Preto e Laranja - SDSSDE81-4T00-G25;R$ 2.599,99
124;SSD Sandisk Plus 240GB, SATA, Leitura 530 MB/s - SDSSDA-240G-G26;R$ 198,90
125;SSD 1 TB Samsung 970 EVO Plus, M.2 NVMe, Leitura: 3500MB/s e Gravação: 3300MB/s - MZ-V7S1T0B/AM;R$ 699,99
126;SSD Kingston 960GB Dc600m, Para Data Center, 2.5p, SATA III 6GB/s - Sedc600m/960g;R$ 696,55
127;SSD Corsair Force MP600 PRO XT, 2TB, M.2 PCIe, NVMe, Leitura 7100MB/s e Gravação 6800MB/s - CSSD-F2000GBMP600PXT;R$ 1.099,99
128;SSD Kingston Nv2, 500GB, M.2 2280, NVME PCIE 4.0 X4, Leitura 3500MB/s E Gravação 2100MB/s - Snv2s/500g;R$ 246,20
129;SSD Kingston 480GB Dc600m, Para Data Center, 2.5p, SATA III 6GB/s - Sedc600m/480g;R$ 555,99
130;SSD Kingston 7680GB DC600M Mixed-Use, SATA 2.5, Leitura: 560MB/s e Gravação: 530MB/s - SEDC600M/7680G;R$ 4.799,99
131;"SSD 1 TB Samsung 870 EVO Series, 2.5"", SATA III, Leitura: 560MB/s e Gravação: 530MB/s, Preto - MZ-77E1T0E";R$ 849,99
132;SSD 4TB Kingston Fury Renegade com Dissipador, PCIe 4.0 NVMe M.2, Gen4x4, Leitura: 7300MB/s e Gravação: 7000MB/s, Preto, compatível com o PlayStation 5 - SFYRDK/4000G;R$ 2.799,99
133;SSD 256 GB Adata Ultimate SU800, SATA, Leitura: 550MB/s e Gravação: 500MB/s - ASU800SS-256GT-C;R$ 199,99
134;SSD Samsung 250GB, 870 EVO, SATA, Leitura 560MB/s e Gravação 530MB/s - MZ-77E250BW;R$ 279,99
135;SSD 256 GB Adata XPG Spectrix S40G, M.2, Leitura: 3500MB/s e Gravação: 1200MB/s - AS40G-256GT-C;R$ 219,99
136;SSD Externo Kingston XS2000, 4TB, USB 3.2 Gen 2x2, Leitura: 2000MB/s e Gravação: 2000MB/s, Cinza - SXS2000/4000G;R$ 2.199,99
137;SSD Adata 120GB, SU650, 520MBps, SATA 2.5 - ASU650SS-120GT-R;R$ 119,00
138;SSD 1 TB WD Blue SN570, M.2 2280, NVMe, Leitura: 3.500MB/s e Gravação: 3.000MB/s, Azul - WDS100T3B0C;R$ 579,99
139;SSD Kingston Fury Renegade 4TB, M.2 2280 PCIe, NVMe, Leituras 7.300MB/s, Gravação 7.000MB/s - SFYRD/4000G;R$ 2.669,99
140;SSD Pny 2TB Cs900 Sata Iii 2,5 Polegadas - SSD7cs900-2tb-rb;R$ 639,81
141;SSD 500GB WD Blue SN580 NVMe, M.2 PCle, Gen4, Leitura 4000 e Gravação 3600 - WDS500G3B0E;R$ 269,99
142;Case SSD Externo M2 Nvme Sata Exbom, Tipo-C, USB 3.1, M E B+m 10gbps;R$ 99,90
143;SSD Kingston 3840GB DC600M Mixed-Use, SATA 2.5, Leitura: 560MB/s e Gravação: 530MB/s -  SEDC600M/3840G;R$ 3.399,99
144;SSD Redragon Hs-SSD-eMBer 256GB M.2;R$ 199,99
145;SSD Gigabyte AORUS Gen5 12000 1TB, PCI-Express 5.0x4, NVMe 2.0, Leitura:11700MB/s e Gravação:9500MB/s, Preto - AG512K1TB;R$ 1.499,99
146;SSD Kingston NV2, 4TB, M.2 2280 PCIe 4.0, NVMe Gen 4x4, Leitura: 3500 MB/s e Gravação: 2800 MB/s - SNV2S/4000G;R$ 1.599,99
147;SSD WD Black 2TB SN850P NVMe, Leitura: 7300MB/s e Gravação: 6600MB/s, para consoles PS5 - WDBBYV0020BNC-WRSN;R$ 1.429,99
148;SSD Externo 2 TB Kingston XS2000, Leitura: 2000MB/s e Gravação: 2000MB/s - SXS2000/2000G;R$ 1.179,99
149;SSD Externo Portátil SanDisk Extreme 1TB, USB, Leitura: 1050 MB/s e Gravação: 1000 MB/s, Verde - SDSSDE61-1T00-G25M;R$ 679,99
150;SSD Crucial CT1000P3PSSD8, 1TB, M.2 PCIe, NVMe, Leitura: 4,700MB/s, Gravação: 1,900MB/s;R$ 514,71
151;SSD Rise Mode Gamer Z Series 256GB, Sata, Leitura: 535MB/s e Gravação: 435MB/s - RM-SSD-256;R$ 129,99
152;SSD Corsair 2TB MP700, M.2 PCIe Gen5 x4 NVMe 2.0, Leitura 10000MB/s e Gravação 10000MB/s, Preto - CSSD-F2000GBMP700R2;R$ 1.899,99
153;SSD PNY, 1TB, SATA III 6Gb/s, Leitura: até 535 MB/s, Gravação: até 515 MB/s, Preto - SSD7CS900-1TB-RB;R$ 359,90
154;SSD Westerndigital WD_black Gen4 500GB, M.2, Leitura até 5150MB/s, Gravação até 4800MB/s - SN770;R$ 467,36
155;SSD Kingston 1.92TB Dc600m, 2.5p, SATA 3 6GB/s, Para Data Center - Sedc600m/1920g;R$ 1.669,00
156;SSD WD 1TB SN770M, M.2, Leitura: 5150MB/s E Gravação: 4900MB/s, Preto - WDS100T3X0G-00CHY0;R$ 779,99
157;SSD Patriot Burst Elite, 240GB, SATA III,  Leitura 450MB/s, Gravação 320MB/s, 2.5 Polegadas - PBE240GS25SSDR;R$ 143,10
158;SSD Gigabyte AORUS Gen5 12000 2TB, PCI-Express 5.0x4, NVMe 2.0, Leitura:12400MB/s e Gravação: 11800MB/s, Preto - AG512K2TB;R$ 2.499,99
159;Suporte Corsair para até 2 SSDs - CSSD-BRKT2 3822633;R$ 39,99
160;SSD Western Digital Green SN350, 240GB, M.2 2280, NVME, Leitura 2400MB/s E Gravação 900MB/s - Wds240g2g0c;R$ 201,00
161;SSD PNY, 250GB, 2.5, Cs900 Sat3 - SSD7cs900-250-rb;R$ 164,16
162;SSD 1 TB WD Red SN700, M.2 2280, NVMe, Leitura: 3430MB/s e Gravação: 3000MB/s, Vermelho - WDS100T1R0C;R$ 899,99
163;SSD M.2 Kingston Fury Renegade Gen4, 1Tb, Pcie 4, 7300mbs;R$ 779,45
164;"SSD 1 TB Samsung 870 QVO Series, 2.5"", SATA III, Leitura: 560MB/s e Gravação: 530MB/s, Cinza - MZ-77Q1T0B/AM";R$ 589,99
165;SSD Samsung 500GB, M.2, NVMe 980, Leitura 3100MB/s e Gravação 2600MB/s - MZ-V8V500BW;R$ 418,24
166;SSD 500GB Kingston Fury Renegade, com Dissipador, PCIe 4.0 NVMe M.2, Gen4x4, Leitura: 7300MB/s e Gravação: 3900MB/s, Preto, compatível com o PlayStation 5 - SFYRSK/500G;R$ 499,99
167;Suporte Corsair para SSDs - CSSD-BRKT1 3822633;R$ 31,99
168;SSD Samsung 8TB, 2.5, Sata 3, 870 Qvo 560mb/s Leit - 530mb/s Grav  Mz-77q8t0bw;R$ 3.358,08
169;Adaptador Placa Conector Conversor, Para SSD M2 Nvme Pci-e Pci Express 3.0 e 4.0, Preto;R$ 69,90
170;SSD M.2 256G NVMe - OEM - Formato 2230;R$ 109,75
171;SSD 2 TB Samsung 970 EVO Plus, M.2 PCI-Express, NVMe, Leitura: 3500MB/s e Gravação: 3300MB/s, Preto - MZ-V7S2T0B/AM;R$ 1.199,99
172;SSD 480GB Western Digital Green, SATA 3 2.5 Pol, Leitura 545 MBps E Gravação 430MBps - Wds480g3g0a;R$ 250,17
173;SSD SATA 250 GB, PNY CS900, Leitura 535MB/S, Escrita 500MB/S;R$ 139,90
174;SSD Kingston Dc600m, 3.8TB, Sata 3, 2.5 Polegadas, Data Center - SEDC600M/3840G;R$ 3.045,32
175;SSD 1TB XPG S41 TUF, M.2 PCIe NVMe, Heatsink, Leitura: 3500MB/s e Gravação: 3000MB/s - AGAMMIXS41-1T-C;R$ 499,99
176;SSD 240GB Adata Su630, SATA III 2.5p, Leitura 520MB/s E Gravação 450MB/s - ASU630SS-240GQ;R$ 205,00
177;Case para SSD M.2 Ugreen, Duplo Protocolo, Nvme/sata 10GB - Uasp;R$ 232,37
178;SSD M.2 Kingston Nv2 Pcie 4.0, 2TB, 3500MBs;R$ 700,86
179;SSD 500 GB Corsair Force MP600 PRO LPX, M.2 PCIe, NVMe, Leitura: 7100MB/s e Gravação: 3700MB/s - CSSD-F0500 GBMP600PLP;R$ 416,99
180;SSD 8TB Corsair MP600 PRO NH, PCIe Gen 4.0 x4 NVMe M.2, Leitura: 7000MB/s e Gravação: 6100MB/s, Preto - CSSD-F8000GBMP600PNH;R$ 6.999,99
181;SSD Western Digital 4TB, Sata Iii Red Nas Sa500, 2.5 Polegadas, Wds400t1r0a;R$ 3.417,21
182;Dissipador de Calor para SSD M2, Nvme, Preto, Led, Argb, 5v, 3 Pinos, Efeito Infinito, Alumínio;R$ 74,70
183;SSD Externo 512GB KBM! GAMING, Portátil, RGB, USB & USB-C, Leitura 420MB/s, Gravação 408MB/s - KGSSE200512;R$ 199,99
184;Case Externa Ugreen, SSD M.2 Sata, Com Cabo USB A/c 50cm;R$ 136,26
185;SSD Externo Portátil SanDisk Extreme, 500GB, USB 3.1, Leitura: 1050 MB/s e Gravação: 1000 MB/s, Preto e Laranja  - SDSSDE61-500G-G25;R$ 569,99
186;SSD 1 TB Corsair Force MP600 PRO LPX, M.2 PCIe, NVMe, Leitura: 7100MB/s e Gravação: 3700MB/s - CSSD-F1000GBMP600PLP;R$ 599,99
