ID;Descrição;Preço em R$
147;Kit Intel I5 Gigabit + 16GB + SSD 240GB + Wireless 150mbps;R$ 807,50
148;Kit Upgrade Intel I5 2400 + Placa H61 1155 + 8gb + SSD 120gb;R$ 522,90
149;Kit Upgrade com Placa Mãe H61 + Processador I5 3470  + Memoria 16 GB DDR3 + Cooler Rede 10 100;R$ 458,30
150;Kit Upgrade Kaikora, Placa-Mãe HDMI + Intel Core I3 + Cooler + Memória 8GB DDR3;R$ 495,00
151;Kit Upgrade: Placa Mãe H81 + Processador I7 4770 + Memória 16GB DDR3 + Cooler;R$ 730,20
152;Kit Upgrade Kaikora, Placa H110 + Intel Core I7 7700 7ª Geração + Cooler;R$ 1.560,00
153;Kit Powerpc Placa-Mãe H110 + Processador I5 6500 + Memória 8GB DDR4 + Cooler + M.2 256GB;R$ 918,46
154;Kit Powerpc Placa-Mãe H110 + Processador I5 7400 + Memória 16GB DDR4 + Cooler + M.2 256GB;R$ 1.142,35
155;Kit Upgrade - Placa-Mãe H81 + Processador I7 4770 + Memória 16GB DDR3 + Cooler + SSD M.2 256GB;R$ 855,55
156;Kit Placa Mãe H110 + Processador I7 7700 + Memória 16GB DDR4 + Cooler - Powerpc;R$ 1.424,98
157;Kit Powerpc Placa-Mãe H61 + Processador I5 2400 + Memória 4GB DDR3 + Cooler + M.2 256GB;R$ 500,91
158;Kit Upgrade - Placa-Mãe MSI PRO H510M-B + Processador I5 10ª Geração + Memória Hyperx 8GB DDR4;R$ 1.790,00
159;Kit Upgrade Powerpc: Placa Mãe H110 + Processador I5 7400;R$ 755,10
160;Kit Upgrade PowerPC com Placa Mãe H81 + Processador I7 4770 + Memória 16GB DDR3 + Cooler + SSD M.2 512GB;R$ 939,08
161;Kit Placa Mãe H61 + Proc I5 3470 + Memoria 4GB DDR 3 + Cooler + SSD 120;R$ 463,79
162;Kit Upgrade Kaikora, Placa-Mãe H81 + Processador I5 4ª Geração + Memória 8GB DDR3;R$ 695,00
163;Kit Placa Mãe H55 + Processador Intel Core I5 + Memória 4gb Com 2gb+2gb Ddr3;R$ 264,64
164;Kit Placa Mãe H61 + Processador I5 3470s  + Memoria 4 Gb Ddr3 + Cooler;R$ 367,85
165;Kit Placa Mãe H110 + Processador I5 6500 + Memoria 16GB DDR4 + Cooler;R$ 892,31
166;Kit Upgrade Powerpc: Placa Mãe H81 + Processador I5 4570s + Memória 16GB DDR3;R$ 505,15
167;Kit Powerpc Pl Mãe H61 + Processador I5 3470  + Memoria 4 GB DDR3 + Cooler;R$ 359,45
168;Kit Upgrade Intel I3 Segunda + Placa Mãe H61 + RAM 8GB DDR3 + Cooler;R$ 539,91
169;Kit Upgrade AMD Cardinal Zen2 Processador AMD Ryzen 7, 4700s, Memória RAM 16GB DDR4 + Placa Mãe - 100-900000005;R$ 1.250,01
170;Kit Upgrade - Placa-Mãe H110 + Processador I5-6500 + Memória 16GB DDR4 + Cooler + SSD M.2 512GB;R$ 1.141,18
171;Kit Upgrade AMD Ryzen 5 5600X + Placa-Mãe Gigabyte A520M S2H + Memória 8GB DDR4;R$ 2.681,99
172;Kit Upgrade Kaikora Gamer, Intel Core I5 OEM 6ª Geração H110 + Memória 16GB DDR4, Dual Channel;R$ 1.125,75
173;Kit Upgrade AMD Ryzen 5 4500, Placa Mãe A320m, 32GB, DDR4, Neologic - NLI84628;R$ 2.022,80
